,time,Bx,By,Bz,speed,Vx,Vy,Vz,density,dst
0,1067395500,-1.44,7.83,-41.46,624.8,-615.9,79.1,69.5,9.61,-368
2,1067395560,0.83,7.29,-33.98,625.4,-616.5,79.3,69.3,9.78,-368
3,1067395620,2.14,7.53,-31.25,741,-739.3,39.9,28.9,6.39,-368
4,1067395680,2.06,7.78,-31,723.9,-721.5,43,35.9,7,-368
5,1067395800,1.93,7.8,-31.54,680.2,-676.1,47.1,53.6,7.44,-368
6,1067395860,2.07,7.84,-31.16,730,-727,39.5,52,6.11,-368
7,1067395920,2.2,8,-30.94,620,-614.3,55.9,62.6,7.68,-368
8,1067395980,2.36,8.1,-30.88,737,-735.1,24.3,46,7.74,-368
11,1067396040,2.27,8.42,-31.1,731.5,-728.9,36.2,48.8,6.25,-368
12,1067396100,1.53,9.22,-34.26,646.5,-643.6,38.1,47.5,7.17,-368
13,1067396160,0.16,11.26,-39.6,615.9,-613,37.6,46.6,7.63,-368
14,1067396220,-0.11,11.72,-40.32,639.5,-637.6,24.2,41.9,9.12,-368
15,1067396280,2.36,8.1,-30.88,737,-735.1,24.3,46,7.74,-368
16,1067396340,2.27,8.42,-31.1,731.5,-728.9,36.2,48.8,6.25,-368
17,1067396400,1.53,9.22,-34.26,646.5,-643.6,38.1,47.5,7.17,-368
18,1067396520,0.16,11.26,-39.6,615.9,-613,37.6,46.6,7.63,-368
22,1067396580,-0.11,11.72,-40.32,639.5,-637.6,24.2,41.9,9.12,-368
23,1067396640,2.36,8.1,-30.88,737,-735.1,24.3,46,7.74,-368
24,1067396700,2.27,8.42,-31.1,731.5,-728.9,36.2,48.8,6.25,-368
25,1067396760,1.53,9.22,-34.26,646.5,-643.6,38.1,47.5,7.17,-368
26,1067396820,0.16,11.26,-39.6,615.9,-613,37.6,46.6,7.63,-368
31,1067396880,-0.11,11.72,-40.32,639.5,-637.6,24.2,41.9,9.12,-368
32,1067396940,5.38,7.52,-25.67,745.5,-743.9,33.5,33.6,6.78,-368
33,1067397000,5.47,8.38,-25.37,745.5,-743.9,33.5,33.6,6.78,-368
34,1067397060,4.93,7.62,-25.73,745.5,-743.9,33.5,33.6,6.78,-368
35,1067397120,5.38,7.52,-25.67,745.5,-743.9,33.5,33.6,6.78,-368
36,1067397180,5.47,8.38,-25.37,745.5,-743.9,33.5,33.6,6.78,-368
37,1067397240,4.93,7.62,-25.73,745.5,-743.9,33.5,33.6,6.78,-368
38,1067397360,5.38,7.52,-25.67,745.5,-743.9,33.5,33.6,6.78,-368
39,1067397420,5.47,8.38,-25.37,745.5,-743.9,33.5,33.6,6.78,-368
40,1067397600,4.93,7.62,-25.73,745.5,-743.9,33.5,33.6,6.78,-368
41,1067397660,4.22,7.05,-25.91,749.9,-748.5,16.9,43.7,7.35,-368
42,1067397720,4.92,7.34,-25.68,745.5,-743.9,33.5,33.6,6.78,-374
53,1067397780,4.94,7.24,-25.68,749.9,-748.5,16.9,43.7,7.35,-374
54,1067397840,5.08,7.04,-25.66,749.5,-747.1,31.3,51.5,7.61,-374
57,1067397900,5.21,7.28,-25.6,749.5,-747.1,31.3,51.5,7.61,-374
58,1067397960,4.94,7.57,-25.54,750.7,-749.3,17.1,42.5,7.53,-374
59,1067398080,4.83,7.51,-25.54,750.7,-749.3,17.1,42.5,7.53,-374
60,1067398140,4.83,7.47,-25.54,750.7,-749.3,17.1,42.5,7.53,-374
65,1067398320,4.71,7.69,-25.46,751,-749.7,11.1,42.8,7.4,-374
66,1067398380,4.56,8.18,-25.15,751,-749.7,11.1,42.8,7.4,-374
67,1067398740,4.2,8.03,-25.23,751,-749.7,11.1,42.8,7.4,-374
68,1067398800,4.33,7.33,-25.38,748.2,-746.5,18,46.9,7.41,-374
69,1067398860,4.01,6.19,-25.67,748.2,-746.5,18,46.9,7.41,-374
70,1067398920,2.71,5.87,-26,735.4,-732.1,37.5,59,6.6,-374
71,1067398980,4.02,6.43,-25.73,735.4,-732.1,37.5,59,6.6,-374
72,1067399040,4.26,6.45,-25.73,734.8,-731.3,38.6,60.2,5.64,-374
73,1067399100,4.19,6.73,-25.7,734.8,-731.3,38.6,60.2,5.64,-374
74,1067399160,4.36,7.43,-25.47,734.8,-731.3,38.6,60.2,5.64,-374
75,1067399220,4.37,7.3,-25.5,734.5,-731.2,36.6,59.4,5,-374
76,1067399280,3.33,7.2,-25.67,735,-731.7,36.6,58.9,5.05,-374
77,1067399340,4.2,7.27,-25.45,736.5,-733.3,36.5,57.6,5.19,-374
78,1067399520,4.61,7.35,-25.29,737.4,-734.3,35.9,57.2,5.52,-374
